network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set
non_small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/non_small_cell_lung_cancer/leaf_node_removal.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
non_small_cell_lung_cancer,dominant_vertices,dv_01,results/models/non_small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,73,35,35,0.4794520547945205,0.5205479452054795,34359738368,9444732965739290427392,3.637978807091713e-12,-38,True,1,9,hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2272;hsa_238;hsa_27436;hsa_3082;hsa_3798;hsa_3799;hsa_3800;hsa_4616;hsa_51426;hsa_5170;hsa_5578;hsa_5579;hsa_5582;hsa_578;hsa_581;hsa_5915;hsa_5979;hsa_6256;hsa_6257;hsa_6258;hsa_6789;hsa_7039;hsa_7157;hsa_83593
pancreatic_cancer,original,original,results/models/pancreatic_cancer/original.bnet,77,77,77,1.0,0.0,151115727451828646838272,151115727451828646838272,1.0,0,False,,,
pancreatic_cancer,node_elimination,node_elimination,results/models/pancreatic_cancer/node_elimination.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
pancreatic_cancer,two_step,two_step,results/models/pancreatic_cancer/two_step.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,77,30,30,0.38961038961038963,0.6103896103896104,1073741824,151115727451828646838272,7.105427357601002e-15,-47,True,1,6,hsa_10000;hsa_1019;hsa_1021;hsa_1026;hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2064;hsa_207;hsa_208;hsa_3845;hsa_4089;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_5888;hsa_595;hsa_675;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7157;hsa_9459
prostate_cancer,original,original,results/models/prostate_cancer/original.bnet,106,106,106,1.0,0.0,81129638414606681695789005144064,81129638414606681695789005144064,1.0,0,False,,,
prostate_cancer,node_elimination,node_elimination,results/models/prostate_cancer/node_elimination.bnet,106,1,1,0.009433962264150943,0.9905660377358491,2,81129638414606681695789005144064,2.465190328815662e-32,-105,True,,,
prostate_cancer,two_step,two_step,results/models/prostate_cancer/two_step.bnet,106,2,2,0.018867924528301886,0.9811320754716981,4,81129638414606681695789005144064,4.930380657631324e-32,-104,True,,,
prostate_cancer,leaf_node_removal,leaf_node_removal,results/models/prostate_cancer/leaf_node_removal.bnet,106,33,33,0.3113207547169811,0.6886792452830188,8589934592,81129638414606681695789005144064,1.0587911840678754e-22,-73,True,,,
prostate_cancer,dominant_vertices,dv_01,results/models/prostate_cancer/dominant_vertices/dominant_vertices_01.bnet,106,42,42,0.39622641509433965,0.6037735849056604,4398046511104,81129638414606681695789005144064,5.421010862427522e-20,-64,True,1,8,hsa_1017;hsa_113235;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2078;hsa_2119;hsa_2346;hsa_2348;hsa_2350;hsa_2352;hsa_2911;hsa_2915;hsa_2950;hsa_3320;hsa_3326;hsa_3479;hsa_3630;hsa_367;hsa_4314;hsa_4318;hsa_4790;hsa_4824;hsa_5154;hsa_5155;hsa_5327;hsa_5328;hsa_56034;hsa_5728;hsa_5970;hsa_6573;hsa_6692;hsa_6716;hsa_6935;hsa_7039;hsa_7113;hsa_7184;hsa_7850;hsa_80310;hsa_898;hsa_9134
renal_cell_carcinoma,original,original,results/models/renal_cell_carcinoma/original.bnet,70,70,70,1.0,0.0,1180591620717411303424,1180591620717411303424,1.0,0,False,,,
renal_cell_carcinoma,node_elimination,node_elimination,results/models/renal_cell_carcinoma/node_elimination.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,
renal_cell_carcinoma,two_step,two_step,results/models/renal_cell_carcinoma/two_step.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/renal_cell_carcinoma/leaf_node_removal.bnet,70,0,0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,True,,,
renal_cell_carcinoma,dominant_vertices,dv_01,results/models/renal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,70,26,26,0.37142857142857144,0.6285714285714286,67108864,1180591620717411303424,5.684341886080802e-14,-44,True,1,5,hsa_1026;hsa_112398;hsa_112399;hsa_1387;hsa_201163;hsa_2033;hsa_2271;hsa_3082;hsa_3265;hsa_369;hsa_3845;hsa_405;hsa_4893;hsa_54583;hsa_5546;hsa_5879;hsa_5894;hsa_673;hsa_6921;hsa_6923;hsa_7030;hsa_7428;hsa_8453;hsa_9915;hsa_9978;hsa_998
small_cell_lung_cancer,original,original,results/models/small_cell_lung_cancer/original.bnet,93,93,93,1.0,0.0,9903520314283042199192993792,9903520314283042199192993792,1.0,0,False,,,
small_cell_lung_cancer,node_elimination,node_elimination,results/models/small_cell_lung_cancer/node_elimination.bnet,93,0,0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,True,,,
small_cell_lung_cancer,two_step,two_step,results/models/small_cell_lung_cancer/two_step.bnet,93,0,0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,True,,,
small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/small_cell_lung_cancer/leaf_node_removal.bnet,93,0,0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,True,,,
small_cell_lung_cancer,dominant_vertices,dv_01,results/models/small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,93,45,45,0.4838709677419355,0.5161290322580645,35184372088832,9903520314283042199192993792,3.552713678800501e-15,-48,True,1,6,hsa_1026;hsa_10319;hsa_10912;hsa_1282;hsa_1284;hsa_1285;hsa_1286;hsa_1287;hsa_1288;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_2272;hsa_22798;hsa_2335;hsa_284217;hsa_317;hsa_3908;hsa_3909;hsa_3910;hsa_3911;hsa_3912;hsa_3913;hsa_3914;hsa_3915;hsa_3918;hsa_4149;hsa_4609;hsa_4616;hsa_4790;hsa_51426;hsa_54205;hsa_5728;hsa_578;hsa_5915;hsa_596;hsa_5970;hsa_6256;hsa_6257;hsa_6258;hsa_7157;hsa_836;hsa_842
thyroid_cancer,original,original,results/models/thyroid_cancer/original.bnet,37,37,37,1.0,0.0,137438953472,137438953472,1.0,0,False,,,
thyroid_cancer,node_elimination,node_elimination,results/models/thyroid_cancer/node_elimination.bnet,37,0,0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,True,,,
thyroid_cancer,two_step,two_step,results/models/thyroid_cancer/two_step.bnet,37,0,0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,True,,,
thyroid_cancer,leaf_node_removal,leaf_node_removal,results/models/thyroid_cancer/leaf_node_removal.bnet,37,0,0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,True,,,
thyroid_cancer,dominant_vertices,dv_01,results/models/thyroid_cancer/dominant_vertices/dominant_vertices_01.bnet,37,23,23,0.6216216216216216,0.3783783783783784,8388608,137438953472,6.103515625e-05,-14,True,1,4,hsa_1026;hsa_10342;hsa_10912;hsa_1499;hsa_1643;hsa_1647;hsa_4616;hsa_4914;hsa_51426;hsa_5468;hsa_578;hsa_581;hsa_5979;hsa_6256;hsa_6257;hsa_6258;hsa_7157;hsa_7170;hsa_7175;hsa_7849;hsa_8030;hsa_8031;hsa_999
