network,method,variant,model_file,original_variables,original_fixed_variables,original_free_variables,retained_variables,state_dimension,fixed_variables,free_variables,retained_fraction,eliminated_fraction,free_retained_fraction,free_eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_size,original_effective_state_space_size,effective_state_space_ratio,log2_effective_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,serialized_dimension,initial_states_analyzed,serialized_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
glioma,original,original,results/models/glioma/original.bnet,76,31,45,76,76,31,45,1.0,0.0,1.0,0.0,75557863725914323419136,75557863725914323419136,1.0,0,35184372088832,35184372088832,1.0,0,False,,,,1,0.015281949999916833,mpbn_exact,True,monte_carlo,False,76,10000,75557863725914323419136,2.842170943040401e-10,1,1,0,1,7.9308,8,0.2369786400004159,10000,17395579645680446408,
glioma,node_elimination,node_elimination,results/models/glioma/node_elimination.bnet,76,31,45,0,0,0,0,0.0,1.0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,1,35184372088832,2.842170943040401e-14,-45,True,,,,1,0.0032764790003056987,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.2023000635963399e-05,,,
glioma,two_step,two_step,results/models/glioma/two_step.bnet,76,31,45,0,0,0,0,0.0,1.0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,1,35184372088832,2.842170943040401e-14,-45,True,,,,1,0.0027092079999420093,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1830000403278973e-05,,,
glioma,leaf_node_removal,leaf_node_removal,results/models/glioma/leaf_node_removal.bnet,76,31,45,0,0,0,0,0.0,1.0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,1,35184372088832,2.842170943040401e-14,-45,True,,,,1,0.0026225859992337064,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1969999832217582e-05,,,
glioma,dominant_vertices,dv_01,results/models/glioma/dominant_vertices/dominant_vertices_01.bnet,76,31,45,31,31,31,0,0.40789473684210525,0.5921052631578947,0.0,1.0,2147483648,75557863725914323419136,2.842170943040401e-14,-45,1,35184372088832,2.842170943040401e-14,-45,True,1,8,hsa_10000;hsa_1029;hsa_10912;hsa_163688;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_207;hsa_208;hsa_3479;hsa_4193;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_51806;hsa_5578;hsa_5579;hsa_5582;hsa_5728;hsa_578;hsa_581;hsa_7039;hsa_801;hsa_805;hsa_808;hsa_810;hsa_91860,1,,theoretical_preservation,True,exact,True,31,1,2147483648,1.0,1,1,0,1,0.0,0,2.2586999875784386e-05,,,
melanoma,original,original,results/models/melanoma/original.bnet,73,40,33,73,73,40,33,1.0,0.0,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,8589934592,8589934592,1.0,0,False,,,,1,0.01620838899998489,mpbn_exact,True,monte_carlo,False,73,10000,9444732965739290427392,1.1641532182693481e-06,1,1,0,1,4.9854,5,0.20861658600006194,10000,16178760310373070879,
melanoma,node_elimination,node_elimination,results/models/melanoma/node_elimination.bnet,73,40,33,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,8589934592,1.1641532182693481e-10,-33,True,,,,1,0.0042437150004843716,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1299000107101165e-05,,,
melanoma,two_step,two_step,results/models/melanoma/two_step.bnet,73,40,33,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,8589934592,1.1641532182693481e-10,-33,True,,,,1,0.003218245999960345,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1101000382041093e-05,,,
melanoma,leaf_node_removal,leaf_node_removal,results/models/melanoma/leaf_node_removal.bnet,73,40,33,0,0,0,0,0.0,1.0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,1,8589934592,1.1641532182693481e-10,-33,True,,,,1,0.0027279149999230867,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1530000847415067e-05,,,
melanoma,dominant_vertices,dv_01,results/models/melanoma/dominant_vertices/dominant_vertices_01.bnet,73,40,33,40,40,40,0,0.547945205479452,0.452054794520548,0.0,1.0,1099511627776,9444732965739290427392,1.1641532182693481e-10,-33,1,8589934592,1.1641532182693481e-10,-33,True,1,7,hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2246;hsa_2247;hsa_2248;hsa_2249;hsa_2250;hsa_2251;hsa_2252;hsa_2253;hsa_2254;hsa_2255;hsa_26281;hsa_26291;hsa_27006;hsa_3082;hsa_3479;hsa_4193;hsa_4286;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_56034;hsa_5728;hsa_578;hsa_581;hsa_80310;hsa_8074;hsa_8817;hsa_8822;hsa_8823;hsa_9965;hsa_999,1,,theoretical_preservation,True,exact,True,40,1,1099511627776,1.0,1,1,0,1,0.0,0,2.5486999220447615e-05,,,
