network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,initial_states_analyzed,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
endometrial_cancer,original,original,results/models/endometrial_cancer/original.bnet,59,59,59,1.0,0.0,576460752303423488,576460752303423488,1.0,0,False,,,,1,0.010738717000094766,mpbn_exact,True,monte_carlo,False,10000,1.734723475976807e-14,1,1,0,1,8.1063,9,0.18447207999997772,10000,8660806899490889664,
endometrial_cancer,node_elimination,node_elimination,results/models/endometrial_cancer/node_elimination.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,,1,0.0030463220000456204,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.517999842501013e-06,,,
endometrial_cancer,two_step,two_step,results/models/endometrial_cancer/two_step.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,,1,0.00260472399986611,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.529999715596205e-06,,,
endometrial_cancer,leaf_node_removal,leaf_node_removal,results/models/endometrial_cancer/leaf_node_removal.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,,1,0.002594890999716881,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.240000053978292e-06,,,
endometrial_cancer,dominant_vertices,dv_01,results/models/endometrial_cancer/dominant_vertices/dominant_vertices_01.bnet,59,23,23,0.3898305084745763,0.6101694915254237,8388608,576460752303423488,1.4551915228366852e-11,-36,True,1,8,hsa_1026;hsa_10297;hsa_10912;hsa_1495;hsa_1496;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2064;hsa_29119;hsa_2932;hsa_324;hsa_4292;hsa_4616;hsa_51426;hsa_5728;hsa_578;hsa_581;hsa_7157;hsa_8312;hsa_8313;hsa_999,1,,theoretical_preservation,True,monte_carlo,False,10000,0.0011920928955078125,1,1,0,1,1.0,1,0.05281800700004169,10000,2931817529538499357,
glioma,original,original,results/models/glioma/original.bnet,76,76,76,1.0,0.0,75557863725914323419136,75557863725914323419136,1.0,0,False,,,,1,0.015448334000211617,mpbn_exact,True,monte_carlo,False,10000,1.3234889800848443e-19,1,1,0,1,8.9654,9,0.2712442749998445,10000,17395579645680446408,
glioma,node_elimination,node_elimination,results/models/glioma/node_elimination.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,,1,0.003042883000034635,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.053000212588813e-06,,,
glioma,two_step,two_step,results/models/glioma/two_step.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,,1,0.002508323000256496,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.288000001106411e-06,,,
glioma,leaf_node_removal,leaf_node_removal,results/models/glioma/leaf_node_removal.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,,1,0.0024802400002954528,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,9.450000106880907e-06,,,
glioma,dominant_vertices,dv_01,results/models/glioma/dominant_vertices/dominant_vertices_01.bnet,76,31,31,0.40789473684210525,0.5921052631578947,2147483648,75557863725914323419136,2.842170943040401e-14,-45,True,1,8,hsa_10000;hsa_1029;hsa_10912;hsa_163688;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_207;hsa_208;hsa_3479;hsa_4193;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_51806;hsa_5578;hsa_5579;hsa_5582;hsa_5728;hsa_578;hsa_581;hsa_7039;hsa_801;hsa_805;hsa_808;hsa_810;hsa_91860,1,,theoretical_preservation,True,monte_carlo,False,10000,4.656612873077393e-06,1,1,0,1,1.0,1,0.09306105799987563,10000,17053335945981942604,
