network,method,variant,model_file,state_dimension,analysis_type,attractor_count_is_complete,serialized_dimension,fixed_variables,free_variables,initial_states_analyzed,state_space_size,serialized_state_space_size,effective_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
non_small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/non_small_cell_lung_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.086899919755524e-05,,,
non_small_cell_lung_cancer,dominant_vertices,dv_01,results/models/non_small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,35,exact,True,35,35,0,1,1,34359738368,1,1.0,1,1,0,1,0.0,0,2.2175000594870653e-05,,,
pancreatic_cancer,original,original,results/models/pancreatic_cancer/original.bnet,77,monte_carlo,False,77,30,47,10000,140737488355328,151115727451828646838272,140737488355328,7.105427357601002e-11,1,1,0,1,3.7476,4,0.2106747269999687,10000,7969653708496683661,
pancreatic_cancer,node_elimination,node_elimination,results/models/pancreatic_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1918999916815665e-05,,,
pancreatic_cancer,two_step,two_step,results/models/pancreatic_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1363999874447472e-05,,,
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1794000783993397e-05,,,
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,30,exact,True,30,30,0,1,1,1073741824,1,1.0,1,1,0,1,0.0,0,2.262799989694031e-05,,,
prostate_cancer,original,original,results/models/prostate_cancer/original.bnet,106,monte_carlo,False,106,41,65,10000,36893488147419103232,81129638414606681695789005144064,36893488147419103232,2.710505431213761e-16,1,1,0,1,7.9964,8,0.3387403960005031,10000,10729559845943105712,
prostate_cancer,node_elimination,node_elimination,results/models/prostate_cancer/node_elimination.bnet,1,exact,True,1,0,1,2,2,2,2,1.0,2,2,0,1;1,0.0,0,2.2175000594870653e-05,,,
prostate_cancer,two_step,two_step,results/models/prostate_cancer/two_step.bnet,2,exact,True,2,0,2,4,4,4,4,1.0,2,2,0,1;1,0.5,1,2.999700063810451e-05,,,
